Variables,TWITTER_SENTIMENT_DAILY_AVG,TWITTER_PUBLICATION_COUNT,TWITTER_POS_SENTIMENT_COUNT,TWITTER_NEG_SENTIMENT_COUNT,TWITTER_NEUTRAL_SENTIMENT_CNT,PX_OPEN,PX_LOW,PX_HIGH,EQY_WEIGHTED_AVG_PX,VWAP_VOLUME,VWAP_TURNOVER,VWAP_NUM_TRADES,NEWS_SENTIMENT_DAILY_AVG,NEWS_NEUTRAL_SENTIMENT_COUNT,NEWS_POS_SENTIMENT_COUNT,NEWS_NEG_SENTIMENT_COUNT,NEWS_PUBLICATION_COUNT
04/12/18,-0.0355,2449,104,177,917,181,176.27,182.38,178.1368,10659689,1898883163,43708,0.1788,224,110,63,3576
05/12/18,-0.0359,2278,86,164,819,181,176.27,182.38,178.1368,10659689,1898883163,43708,-0.1681,153,78,73,3239
06/12/18,-0.0172,1731,37,104,758,171.74,170.43,174.77,172.8348,10734233,1855248507,49961,0.0697,217,62,32,2723
07/12/18,-0.0307,2252,54,163,897,173.45,168.31,174.49,170.0645,11650373,1981314924,57803,-0.101,196,60,62,2890
10/12/18,-0.0534,903,20,70,335,165,163.73,170.09,167.0104,13534936,2260474673,69066,-0.1882,50,10,23,1776
11/12/18,-0.0489,4371,143,374,1518,171.69,167,171.77,169.0169,9372464,1584104370,40376,-0.1946,316,173,170,6511
12/12/18,-0.0227,2194,58,119,735,170.4,169.02,171.91,169.9879,7685388,1306422599,32178,0.117,132,52,35,3068
13/12/18,-0.0147,1969,71,113,829,170.44,169.58,172.56,170.9235,6337602,1083245426,27134,0.2665,294,178,36,3004
14/12/18,-0.0141,2148,48,119,966,169,165.29,169.08,166.3566,10555581,1755990551,44217,0.1467,439,181,61,3837
17/12/18,-0.0323,618,10,39,231,165.42,162.73,168.34,165.0035,11860562,1957034277,46423,-0.1659,74,24,32,1667
18/12/18,-0.0278,1879,35,130,695,165.49,164.4,167.53,165.9469,8433879,1399576284,33703,-0.2057,135,49,65,2535
19/12/18,-0.0246,1386,36,87,524,166,159.14,167.44,162.5238,13239684,2151763871,49965,0.1376,122,52,28,2233
20/12/18,-0.0338,2054,47,119,584,160.19,155.3,162.1,158.0529,14379870,2272780423,64681,0.122,127,50,27,2214
